#uniacc,domains,threshold
P11161;MA0472.2;EGR2
P32519;MA0473.2;ELF1
P11308;MA0474.2;ERG
Q01543;MA0475.2;FLI1
P01100;MA0476.1;FOS
P15407;MA0477.1;FOSL1
P15408;MA0478.1;FOSL2
O75593;MA0479.1;FOXH1
Q9R1E0;MA0480.1;Foxo1
Q9H334;MA0481.1;FOXP1
Q08369;MA0482.1;Gata4
O70237;MA0483.1;Gfi1b
Q14541;MA0484.1;HNF4G
P09633;MA0485.1;Hoxc9
Q00613;MA0486.2;HSF1
P05412;MA0488.1;JUN
P05412;MA0489.1;JUN(var.2)
P17275;MA0490.1;JUNB
P17535;MA0491.1;JUND
P17535;MA0492.1;JUND(var.2)
P46099;MA0493.1;Klf1
Q9Z0Y9;MA0494.1;Nr1h3::Rxra
P28700;MA0494.1;Nr1h3::Rxra
Q9ULX9;MA0495.1;MAFF
O60675;MA0496.1;MAFK
Q06413;MA0497.1;MEF2C
O00470;MA0498.2;MEIS1
P10085;MA0499.1;Myod1
P12979;MA0500.1;Myog
O75444;MA0501.1;MAF::NFE2
Q16621;MA0501.1;MAF::NFE2
P25208;MA0502.1;NFYB
P42582;MA0503.1;Nkx2-5(var.2)
P49116;MA0504.1;NR2C2
P45448;MA0505.1;Nr5a2
Q16656;MA0506.1;NRF1
P09086;MA0507.1;POU2F2
O75626;MA0508.1;PRDM1
P48377;MA0509.1;Rfx1
P48382;MA0510.2;RFX5
Q13950;MA0511.2;RUNX2
P28700;MA0512.2;Rxra
Q15796;MA0513.1;SMAD2::SMAD3::SMAD4
P84022;MA0513.1;SMAD2::SMAD3::SMAD4
Q13485;MA0513.1;SMAD2::SMAD3::SMAD4
P53784;MA0514.1;Sox3
P40645;MA0515.1;Sox6
Q02086;MA0516.1;SP2
P42224;MA0517.1;STAT1::STAT2
P52630;MA0517.1;STAT1::STAT2
P42228;MA0518.1;Stat4
P42230;MA0519.1;Stat5a::Stat5b
P42232;MA0519.1;Stat5a::Stat5b
P52633;MA0520.1;Stat6
Q61286;MA0521.1;Tcf12
P15923;MA0522.2;TCF3
Q9NQB0;MA0523.1;TCF7L2
Q92754;MA0524.2;TFAP2C
Q9H3D4;MA0525.2;TP63
Q15853;MA0526.1;USF2
Q86T24;MA0527.1;ZBTB33
O14978;MA0528.1;ZNF263
Q7JN06;MA0529.1;BEAF-32
P20482;MA0530.1;cnc::maf-S
Q4QPP9;MA0530.1;cnc::maf-S
Q9VS55;MA0531.1;CTCF
Q24151;MA0532.1;Stat92E
P08970;MA0533.1;su(Hw)
P34021;MA0534.1;EcR::usp
P20153;MA0534.1;EcR::usp
P42003;MA0535.1;Mad
Q9VEZ8;MA0536.1;pnr
Q93560;MA0537.1;blmp-1
G5EFF5;MA0538.1;daf-12
P48996;MA0540.1;dpy-27
G5EF11;MA0541.1;efl-1
G5ECF7;MA0542.1;elt-3
G5EDU4;MA0543.1;eor-1
P91868;MA0544.1;snpc-4
P22980;MA0545.1;hlh-1
Q17381;MA0546.1;pha-4
P34707;MA0547.1;skn-1
Q38847;MA0548.1;AGL15
Q9LN63;MA0549.1;BZR2
Q8S307;MA0550.1;BZR1
O24646;MA0551.1;HY5
Q8GZM7;MA0552.1;PIF1
Q6PV68;MA0553.1;SMZ
O64645;MA0554.1;SOC1
Q9FVC1;MA0555.1;SVP
P35632;MA0556.1;AP3
Q9LIE5;MA0557.1;FHY3
Q5Q9J1;MA0558.1;FLC
P48007;MA0559.1;PI
O80536;MA0560.1;PIF3
Q8W2F3;MA0561.1;PIF4
Q84LH8;MA0562.1;PIF5
O22456;MA0563.1;SEP3
Q01593;MA0564.1;ABI3
Q9LW31;MA0565.1;FUS3
Q39204;MA0566.1;MYC2
Q8LDC8;MA0567.1;ERF1B
